7600: {'eps': 0.01, 'loss': 0.0031431771349161863, 'states_visited': 121616, 'avg_traj_length': 5.625, 'avg_reward': 2.500999689102173, 'max_traj_length': 10.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004160151001997292}
7700: {'eps': 0.01, 'loss': 5.418637374532409e-05, 'states_visited': 123216, 'avg_traj_length': 5.0, 'avg_reward': 2.500999689102173, 'max_traj_length': 5.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004163492703810334}
7800: {'eps': 0.01, 'loss': 0.0005447479197755456, 'states_visited': 124816, 'avg_traj_length': 5.3125, 'avg_reward': 2.500999689102173, 'max_traj_length': 10.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00041666693869046867}
7900: {'eps': 0.01, 'loss': 0.0005363716627471149, 'states_visited': 126416, 'avg_traj_length': 5.3125, 'avg_reward': 2.500999689102173, 'max_traj_length': 10.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004169612075202167}
8000: {'eps': 0.01, 'loss': 0.019675150513648987, 'states_visited': 128016, 'avg_traj_length': 4.8125, 'avg_reward': 2.375999689102173, 'max_traj_length': 5.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004172252374701202}
8100: {'eps': 0.01, 'loss': 0.0004101338272448629, 'states_visited': 129616, 'avg_traj_length': 5.0625, 'avg_reward': 2.375999689102173, 'max_traj_length': 10.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00041752035031095147}
8200: {'eps': 0.01, 'loss': 0.0022473654244095087, 'states_visited': 131216, 'avg_traj_length': 5.625, 'avg_reward': 2.500999689102173, 'max_traj_length': 10.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00041770777897909284}
8300: {'eps': 0.01, 'loss': 3.425818431423977e-05, 'states_visited': 132816, 'avg_traj_length': 5.0, 'avg_reward': 2.500999689102173, 'max_traj_length': 5.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00041799002792686224}
8400: {'eps': 0.01, 'loss': 0.0002528147306293249, 'states_visited': 134416, 'avg_traj_length': 5.0, 'avg_reward': 2.500999689102173, 'max_traj_length': 5.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00041825103107839823}
8500: {'eps': 0.01, 'loss': 0.0002911978808697313, 'states_visited': 136016, 'avg_traj_length': 5.0, 'avg_reward': 2.500999689102173, 'max_traj_length': 5.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00041853098082356155}
8600: {'eps': 0.01, 'loss': 0.00012896786211058497, 'states_visited': 137616, 'avg_traj_length': 5.0, 'avg_reward': 2.500999689102173, 'max_traj_length': 5.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00041864480590447783}
8700: {'eps': 0.01, 'loss': 3.768778333324008e-05, 'states_visited': 139216, 'avg_traj_length': 4.75, 'avg_reward': 2.375999689102173, 'max_traj_length': 5.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00041876648901961744}
8800: {'eps': 0.01, 'loss': 0.000652207643724978, 'states_visited': 140816, 'avg_traj_length': 5.3125, 'avg_reward': 2.500999689102173, 'max_traj_length': 10.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00041894090827554464}
8900: {'eps': 0.01, 'loss': 4.007513416581787e-05, 'states_visited': 142416, 'avg_traj_length': 5.0, 'avg_reward': 2.500999689102173, 'max_traj_length': 5.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00041918334318324924}
9000: {'eps': 0.01, 'loss': 8.668972441228107e-05, 'states_visited': 144016, 'avg_traj_length': 5.0, 'avg_reward': 2.500999689102173, 'max_traj_length': 5.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00041940348455682397}
9100: {'eps': 0.01, 'loss': 7.369615923380479e-05, 'states_visited': 145616, 'avg_traj_length': 5.0, 'avg_reward': 2.500999689102173, 'max_traj_length': 5.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00041963555850088596}
9200: {'eps': 0.01, 'loss': 0.0022010260727256536, 'states_visited': 147216, 'avg_traj_length': 10.3125, 'avg_reward': 2.500999689102173, 'max_traj_length': 15.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00041961719398386776}
9300: {'eps': 0.01, 'loss': 0.00015547478687949479, 'states_visited': 148816, 'avg_traj_length': 5.0, 'avg_reward': 2.500999689102173, 'max_traj_length': 5.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00041967135621234775}
9400: {'eps': 0.01, 'loss': 0.0002798568457365036, 'states_visited': 150416, 'avg_traj_length': 5.3125, 'avg_reward': 2.500999689102173, 'max_traj_length': 10.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004198088136035949}
9500: {'eps': 0.01, 'loss': 2.1479841961991042e-05, 'states_visited': 152016, 'avg_traj_length': 5.0, 'avg_reward': 2.500999689102173, 'max_traj_length': 5.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004200525872875005}
9600: {'eps': 0.01, 'loss': 0.0014414344914257526, 'states_visited': 153616, 'avg_traj_length': 10.0, 'avg_reward': 2.500999689102173, 'max_traj_length': 10.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004192327323835343}
9700: {'eps': 0.01, 'loss': 0.001250311965122819, 'states_visited': 155216, 'avg_traj_length': 9.6875, 'avg_reward': 2.500999689102173, 'max_traj_length': 10.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004174022178631276}
9800: {'eps': 0.01, 'loss': 0.0005971254431642592, 'states_visited': 156816, 'avg_traj_length': 10.0, 'avg_reward': 2.500999689102173, 'max_traj_length': 10.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00041361729381605983}
9900: {'eps': 0.01, 'loss': 0.01952856406569481, 'states_visited': 158416, 'avg_traj_length': 19.9375, 'avg_reward': 2.344749689102173, 'max_traj_length': 20.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00040912910480983555}
10000: {'eps': 0.01, 'loss': 0.016191627830266953, 'states_visited': 160016, 'avg_traj_length': 16.5625, 'avg_reward': 2.344749689102173, 'max_traj_length': 25.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004050263960380107}
10100: {'eps': 0.01, 'loss': 0.018964989110827446, 'states_visited': 161616, 'avg_traj_length': 19.9375, 'avg_reward': 2.344749689102173, 'max_traj_length': 20.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00040312818600796163}
10200: {'eps': 0.01, 'loss': 0.010756961070001125, 'states_visited': 163216, 'avg_traj_length': 20.125, 'avg_reward': 2.375999689102173, 'max_traj_length': 22.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00040272940532304347}
10300: {'eps': 0.01, 'loss': 0.0018455565441399813, 'states_visited': 164816, 'avg_traj_length': 15.3125, 'avg_reward': 2.500999689102173, 'max_traj_length': 20.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00040252465987578034}
10400: {'eps': 0.01, 'loss': 0.011213507503271103, 'states_visited': 166416, 'avg_traj_length': 15.75, 'avg_reward': 2.375999689102173, 'max_traj_length': 22.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0003984530339948833}
10500: {'eps': 0.01, 'loss': 0.002052893629297614, 'states_visited': 168016, 'avg_traj_length': 15.625, 'avg_reward': 2.500999689102173, 'max_traj_length': 20.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0003954585990868509}
10600: {'eps': 0.01, 'loss': 0.014643526636064053, 'states_visited': 169616, 'avg_traj_length': 15.6875, 'avg_reward': 2.375999689102173, 'max_traj_length': 21.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0003914440458174795}
10700: {'eps': 0.01, 'loss': 0.056433629244565964, 'states_visited': 171216, 'avg_traj_length': 13.4375, 'avg_reward': 2.063499689102173, 'max_traj_length': 15.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0003913497494067997}
10800: {'eps': 0.01, 'loss': 0.019203681498765945, 'states_visited': 172816, 'avg_traj_length': 14.0, 'avg_reward': 2.250999689102173, 'max_traj_length': 17.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00039157160790637136}
10900: {'eps': 0.01, 'loss': 0.026487402617931366, 'states_visited': 174416, 'avg_traj_length': 9.625, 'avg_reward': 2.375999689102173, 'max_traj_length': 10.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00038869577110745013}
11000: {'eps': 0.01, 'loss': 0.0008071226184256375, 'states_visited': 176016, 'avg_traj_length': 10.0, 'avg_reward': 2.500999689102173, 'max_traj_length': 10.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0003884585457853973}
